                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.92564,                 1.8709,                 1.1346,                  1.107,                0.91496,                 0.4909,                 0.5375,                0.35453,                0.84397,                0.45157,                0.48409,                0.30947,                 1.4661,                0.40027,                 5.1968,                 1.0267,              0.0002689,              0.0002689,              0.0002689
                     78,                 1.0049,                 1.9588,                  1.139,                 1.0881,                0.94239,                0.19444,                0.20575,                0.16555,                0.94239,                0.19444,                0.20575,                0.13014,                 1.4207,                0.38317,                 4.9921,                0.97729,             0.00026155,             0.00026155,             0.00026155
                     79,                0.92087,                 1.9449,                 1.1033,                 1.0914,                0.86984,                0.38889,                0.41249,                0.30693,                 0.8164,                0.38604,                0.39271,                0.24721,                 1.4207,                0.38317,                 4.9921,                0.97729,             0.00025391,             0.00025391,             0.00025391
                     80,                0.83404,                 1.8773,                 1.0407,                 1.0467,                0.88286,                    0.5,                0.54129,                 0.3742,                0.83416,                0.49687,                0.52152,                0.32331,                 1.4207,                0.38317,                 4.9921,                0.97729,             0.00024599,             0.00024599,             0.00024599
                     81,                 0.9111,                 1.8122,                 1.1261,                 1.0794,                0.95867,                0.19444,                0.21245,                0.15145,                0.95867,                0.19444,                0.21245,                0.13308,                 1.3751,                 0.3769,                 4.8797,                0.95665,             0.00023779,             0.00023779,             0.00023779
                     82,                0.92609,                 1.9668,                 1.1849,                 1.0478,                 0.8571,                0.38889,                0.41959,                0.30071,                 0.8571,                0.38889,                0.41959,                 0.2618,                 1.3751,                 0.3769,                 4.8797,                0.95665,              0.0002293,              0.0002293,              0.0002293
                     83,                0.94665,                 1.8294,                 1.0438,                 1.1298,                0.87288,                    0.5,                0.55005,                0.37571,                0.87288,                    0.5,                0.55005,                0.35919,                 1.3751,                 0.3769,                 4.8797,                0.95665,             0.00022053,             0.00022053,             0.00022053
                     84,                0.95089,                  1.967,                 1.1694,                 1.0826,                0.95994,                0.19444,                0.23197,                0.14771,                0.95994,                0.19444,                0.23197,                0.13062,                 1.3639,                0.37201,                 4.7958,                0.95121,             0.00021148,             0.00021148,             0.00021148
                     85,                 1.0129,                 2.2271,                  1.241,                 1.1447,                 0.8559,                0.38889,                 0.4247,                0.29457,                 0.8559,                0.38889,                 0.4247,                0.25913,                 1.3639,                0.37201,                 4.7958,                0.95121,             0.00020214,             0.00020214,             0.00020214
                     86,                0.93242,                 1.8502,                 1.0796,                 1.0547,                0.87231,                    0.5,                0.54973,                0.36976,                0.87231,                    0.5,                0.54973,                0.35433,                 1.3639,                0.37201,                 4.7958,                0.95121,             0.00019252,             0.00019252,             0.00019252
                     87,                0.92642,                 1.9544,                 1.0395,                 1.0494,                0.87231,                    0.5,                0.54973,                0.36976,                0.87231,                    0.5,                0.54973,                0.35433,                 1.3639,                0.37201,                 4.7958,                0.95121,             0.00018262,             0.00018262,             0.00018262
                     88,                0.90958,                 2.0645,                 1.0948,                 1.0973,                 0.9566,                0.19444,                 0.2343,                0.15094,                 0.9566,                0.19444,                 0.2343,                0.13271,                 1.3527,                0.37158,                 4.8233,                 0.9584,             0.00017244,             0.00017244,             0.00017244
                     89,                0.83816,                 1.9194,                 1.0165,                0.99893,                0.86497,                0.38889,                0.42575,                0.29832,                0.86497,                0.38889,                0.42575,                0.26172,                 1.3527,                0.37158,                 4.8233,                 0.9584,             0.00016197,             0.00016197,             0.00016197
                     90,                0.85194,                 1.8478,                 1.0445,                 1.0331,                0.87947,                    0.5,                0.55251,                0.37457,                0.87947,                    0.5,                0.55251,                0.35771,                 1.3527,                0.37158,                 4.8233,                 0.9584,             0.00015122,             0.00015122,             0.00015122
                     91,                0.89071,                 1.8947,                 1.3782,                 1.0658,                0.87947,                    0.5,                0.55251,                0.37457,                0.87947,                    0.5,                0.55251,                0.35771,                 1.3527,                0.37158,                 4.8233,                 0.9584,             0.00014018,             0.00014018,             0.00014018
                     92,                0.82658,                 1.9471,                 1.2126,                 1.0708,                0.95198,                0.19444,                0.22839,                0.15419,                0.95198,                0.19444,                0.22839,                 0.1298,                 1.3806,                0.37254,                 4.8266,                0.97588,             0.00012887,             0.00012887,             0.00012887
                     93,                0.78326,                 1.8618,                 1.1283,                0.99267,                0.96121,                0.38889,                0.43743,                 0.3071,                0.96121,                0.38889,                0.43743,                0.26398,                 1.3806,                0.37254,                 4.8266,                0.97588,             0.00011727,             0.00011727,             0.00011727
                     94,                0.75655,                 1.7769,                 1.1102,                 0.9916,                 0.9708,                    0.5,                0.56566,                0.38195,                 0.9708,                    0.5,                0.56566,                 0.3596,                 1.3806,                0.37254,                 4.8266,                0.97588,             0.00010539,             0.00010539,             0.00010539
                     95,                0.83213,                 1.7926,                   1.25,                 1.0601,                 0.9708,                    0.5,                0.56566,                0.38195,                 0.9708,                    0.5,                0.56566,                 0.3596,                 1.3806,                0.37254,                 4.8266,                0.97588,             9.3222e-05,             9.3222e-05,             9.3222e-05
                     96,                0.80165,                 1.7959,                 1.1901,                 1.0058,                0.95499,                0.19444,                  0.232,                0.13761,                0.95499,                0.19444,                  0.232,                0.12592,                 1.3975,                0.37725,                 4.8864,                0.99701,             8.0774e-05,             8.0774e-05,             8.0774e-05
                     97,                0.75211,                 1.8088,                 1.1115,                 1.0006,                0.96371,                0.38889,                0.44138,                0.28273,                0.96371,                0.38889,                0.44138,                0.25615,                 1.3975,                0.37725,                 4.8864,                0.99701,             6.8043e-05,             6.8043e-05,             6.8043e-05
                     98,                 0.7047,                 1.6789,                 1.0693,                0.98839,                0.97223,                    0.5,                0.57079,                0.35964,                0.97223,                    0.5,                0.57079,                0.35048,                 1.3975,                0.37725,                 4.8864,                0.99701,             5.5029e-05,             5.5029e-05,             5.5029e-05
                     99,                0.81192,                 1.8023,                 1.2273,                 1.0757,                0.97223,                    0.5,                0.57079,                0.35964,                0.97223,                    0.5,                0.57079,                0.35048,                 1.3975,                0.37725,                 4.8864,                0.99701,             4.1733e-05,             4.1733e-05,             4.1733e-05
                    100,                0.73329,                 1.7521,                 1.0821,                0.98984,                0.95499,                0.19444,                0.23479,                 0.1432,                0.95499,                0.19444,                0.23479,                0.13824,                 1.3635,                0.37679,                 4.7602,                0.97927,             2.8153e-05,             2.8153e-05,             2.8153e-05
